Resolution,Target Colors,Algorithm,Time Taken (ms),SSIM,Tradeoff Score,Rank,Resolution Normalized,Speed % Behind Best,Accuracy % Behind Best,Tradeoff % Behind Best,Speed Rank,Accuracy Rank,Tradeoff Rank
"(1280, 720)",64,Median-Cut,53.98712339992926,0.9553243522889416,0.5871334972846004,5,1280x720,16831.79297637261,2.2028039467327636,77.19318961193126,6.0,5.0,5.0
"(1280, 720)",64,SOM,757.5606055004755,0.9768422724191446,0.996834461796248,6,1280x720,237491.0871259042,0.0,200.8383589382421,7.0,1.0,6.0
"(1280, 720)",64,Uniform,0.3188505994330626,0.5288358897882238,1.0,7,1280x720,0.0,45.86271451187665,201.79369842024303,1.0,8.0,7.0
"(1280, 720)",64,K-Means,773.023707500397,0.9757011070774364,1.000003244128466,8,1280x720,242340.7258054036,0.11682186305083538,201.79467747777093,8.0,2.0,8.0
"(1280, 720)",128,Octree-Baseline,7.05790000010893,0.9231592737173424,0.3162528346614472,1,1280x720,2062.7251556832966,6.379193986603481,0.0,2.0,7.0,1.0
"(1280, 720)",128,Octree-Euclidean,19.08068970005843,0.9480501977506856,0.4011873377726161,2,1280x720,5746.82236946778,3.854918450664583,26.856519152497842,3.0,6.0,2.0
"(1280, 720)",128,Octree-SOM,23.132713900486124,0.9741936970643268,0.4126480721794448,3,1280x720,6988.468563033462,1.203614881023812,30.48043430857781,4.0,4.0,3.0
"(1280, 720)",128,Octree-K-Means,30.04853730017203,0.977632788258794,0.4475579251882555,4,1280x720,9107.657732408636,0.8548446322203824,41.519024064202334,5.0,3.0,4.0
"(1280, 720)",128,Median-Cut,55.45218479965115,0.9634922614740672,0.5357666465572778,5,1280x720,16891.999745243418,2.2888848382070743,69.41085986812513,6.0,5.0,5.0
"(1280, 720)",128,SOM,1219.6031065999705,0.9860620870805624,0.9671961640992336,6,1280x720,373618.2899378773,0.0,205.83003789819935,7.0,1.0,6.0
"(1280, 720)",128,Uniform,0.3263429003709461,0.6480674323828539,1.0,7,1280x720,0.0,34.277218354313824,216.20269935936324,1.0,8.0,7.0
"(1280, 720)",128,K-Means,1537.5088362005044,0.9851179656112542,1.000003901263102,8,1280x720,471032.92014407396,0.09574665547719081,216.20393294928695,8.0,2.0,8.0
"(1280, 720)",256,Octree-Baseline,9.556418499869324,0.9623854025686812,0.2882516332789371,1,1280x720,2900.314424295796,2.822337658859955,0.0,2.0,7.0,1.0
"(1280, 720)",256,Octree-SOM,36.65499649941921,0.9821845807956328,0.4323406623903313,2,1280x720,11408.130867356136,0.8230992547493541,49.98723770351069,3.0,4.0,2.0
"(1280, 720)",256,Octree-Euclidean,37.04297460062662,0.975392571983925,0.4363041361150869,3,1280x720,11529.93971168201,1.5089279644954756,51.362242479605115,4.0,5.0,3.0
"(1280, 720)",256,Median-Cut,56.67479080148041,0.9702150374438584,0.4921373178668794,4,1280x720,17693.506253200776,2.0317337987810586,70.73184018723147,5.0,6.0,4.0
"(1280, 720)",256,Octree-K-Means,64.59052589962084,0.9839453455989816,0.5032000880312878,5,1280x720,20178.714931973056,0.645304571802895,74.5697265639942,6.0,3.0,5.0
"(1280, 720)",256,SOM,1976.2322189002589,0.9903360292720856,0.9407689935631718,6,1280x720,620353.9945802512,0.0,226.37074172370873,7.0,1.0,6.0
"(1280, 720)",256,Uniform,0.3185139004926896,0.7294014439363509,1.0,7,1280x720,0.0,26.348085662149067,246.9191097461411,1.0,8.0,7.0
"(1280, 720)",256,K-Means,3132.4125609000475,0.9896369993028956,1.0000035883725342,8,1280x720,983346.1089625009,0.07058512954474887,246.92035462114612,8.0,2.0,8.0
"(1920, 1080)",8,Octree-K-Means,24.20074250039761,0.881149323161827,0.4503625612353452,1,1920x1080,3458.7683909620005,2.0593807396456696,0.0,4.0,4.0,1.0
"(1920, 1080)",8,Octree-Euclidean,9.306518800076446,0.6402704949632179,0.4680564401979248,2,1920x1080,1268.5425120762934,28.833300869125857,3.9288076953033766,3.0,6.0,2.0
"(1920, 1080)",8,Octree-Baseline,7.250885400071638,0.5176653463644639,0.5900915918156932,3,1920x1080,966.2574409788812,42.46098446670424,31.02589837775836,2.0,7.0,3.0
"(1920, 1080)",8,Median-Cut,128.67083600103797,0.8666979418302363,0.7230585470137263,4,1920x1080,18821.3080545618,3.665666075829921,60.55032306201822,5.0,5.0,4.0
"(1920, 1080)",8,Octree-SOM,173.0281134998222,0.8996771000798747,0.7704730669717283,5,1920x1080,25344.135900410325,0.0,71.07840066863453,6.0,1.0,5.0
"(1920, 1080)",8,K-Means,310.9151924996695,0.8918911645891642,0.8674239958788305,6,1920x1080,45620.71122691837,0.8654144348032473,92.60570716612969,7.0,2.0,6.0
"(1920, 1080)",8,Uniform,0.6800313996791374,0.1756471094250683,1.0,7,1920x1080,0.0,80.47664996591843,122.04332377384976,1.0,8.0,7.0
"(1920, 1080)",8,SOM,692.4030473008315,0.8888022083754556,1.0001127930348903,8,1920x1080,101719.2759374834,1.208754974807465,122.06836871421535,8.0,3.0,8.0
